anime_id,title,title_english,image_url,type,source,rating,score,premiered,studio,genre
9389,Ginga Hyouryuu Vifam: Kieta 12-nin,,https://myanimelist.cdn-dena.com/images/anime/11/59747.jpg,OVA,Unknown,G - All Ages,6.29,0,Sunrise,"Sci-Fi, Adventure, Space, Mecha"
34152,Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaimono,,https://myanimelist.cdn-dena.com/images/anime/10/83150.jpg,OVA,Original,R - 17+ (violence & profanity),7.4,0,Lerche,"Action, Mystery, Horror, Psychological"
9998,Chuuhai Lemon: Love 30s - Ame ni Nurete mo,,https://myanimelist.cdn-dena.com/images/anime/6/27716.jpg,OVA,Unknown,PG-13 - Teens 13 or older,6,0,0,"Police, Comedy, Romance, Drama"
153,Juuni Kokuki,The Twelve Kingdoms,https://myanimelist.cdn-dena.com/images/anime/6/50859.jpg,TV,Novel,PG-13 - Teens 13 or older,8.13,Spring 2002,Studio Pierrot,"Action, Adventure, Fantasy, Magic, Supernatural"
27417,Diabolik Lovers OVA,,https://myanimelist.cdn-dena.com/images/anime/12/74238.jpg,OVA,Visual novel,PG-13 - Teens 13 or older,6.04,0,Production I.G/Zexcs,"Harem, School, Vampire, Shoujo"
5588,Ko Ko Ro,,https://myanimelist.cdn-dena.com/images/anime/6/11545.jpg,OVA,Unknown,Rx - Hentai,5.34,0,0,Hentai
23903,Tuzki: Love Assassin,,https://myanimelist.cdn-dena.com/images/anime/6/61931.jpg,ONA,Unknown,R - 17+ (violence & profanity),5.87,0,Studio 4°C,"Comedy, Romance"
13247,Lupin III: Lupin Ikka Seizoroi,,https://myanimelist.cdn-dena.com/images/anime/2/46379.jpg,Special,Unknown,PG-13 - Teens 13 or older,6.87,0,0,"Adventure, Comedy, Seinen"
33398,Neko Konogoro,,https://myanimelist.cdn-dena.com/images/anime/1877/91297.jpg,TV,Manga,None,3.44,Summer 2016,Kachidoki Studio,Comedy
1051,Ao no 6-gou,Blue Submarine No. 6,https://myanimelist.cdn-dena.com/images/anime/3/20750.jpg,OVA,Manga,PG-13 - Teens 13 or older,7.14,0,Gonzo,"Action, Adventure, Mecha, Military, Sci-Fi"
